first_name,second_name,id,minutes,xG,xA,total_points,xPoints,total_points_Home/Away,xPoints_Home/Away,goal_scored,assists,bonus,form,diff,team_against,Home/Away
Erling,Haaland,318,383,5.300000000000001,0.27,48,36.010000000000005,51,32.24,6,3,8,9.5,220,West Ham,Home
Erling,Haaland,318,383,5.300000000000001,0.27,48,36.010000000000005,36,28.91,6,3,8,9.5,265,Fulham,Away
Ollie,Watkins,40,450,2.76,0.32,36,29.0,33,32.62,4,1,8,7.3,-55,Man Utd,Away
Gabriel,Fernando de Jesus,28,374,4.99,0.15,30,33.410000000000004,29,29.39,4,0,6,6.0,25,Chelsea,Home
Harry,Kane,427,450,2.7800000000000002,0.81,35,30.55,23,22.769999999999996,3,2,8,7.0,0,Liverpool,Away
Alexander,Isak,594,346,1.33,0.36,28,17.4,33,28.379999999999995,4,0,4,4.8,140,Southampton,Home
Diogo,Teixeira da Silva,288,369,2.71,0.5599999999999999,34,26.52,21,20.43,4,1,6,6.5,120,Fulham,Home
Diogo,Teixeira da Silva,288,369,2.71,0.5599999999999999,34,26.52,21,20.43,4,1,6,6.5,0,Spurs,Home
Ivan,Toney,80,442,3.28,0.44,19,25.44,25,31.09,2,0,3,4.7,15,Nott'm Forest,Home
Bryan,Mbeumo,95,347,0.9,0.81,26,18.029999999999998,28,28.409999999999997,1,3,4,4.5,15,Nott'm Forest,Home
Eddie,Nketiah,11,450,3.56,0.4,23,27.439999999999998,26,22.65,2,1,3,0.6,25,Chelsea,Home
Dominic,Solanke,66,447,2.3499999999999996,0.45,26,23.75,20,25.54,1,3,3,5.8,-55,Leeds,Home
Kai,Havertz,145,420,3.8,0.41000000000000003,23,31.43,16,18.740000000000002,2,0,5,1.2,-25,Arsenal,Away
Callum,Wilson,356,252,1.99,0.26,36,18.74,19,15.23,5,1,6,7.0,140,Southampton,Home
Julián,Álvarez,319,278,2.71,0.32,28,18.8,21,17.1,3,2,3,4.2,265,Fulham,Away
Kelechi,Iheanacho,262,317,2.59,0.55,19,21.009999999999998,25,19.42,2,0,3,3.0,35,Everton,Home
Julián,Álvarez,319,278,2.71,0.32,28,18.8,20,13.48,3,2,3,4.2,220,West Ham,Home
Che,Adams,411,325,1.18,0.39000000000000007,18,15.89,26,19.46,1,1,3,0.2,-140,Newcastle,Away
Darwin,Núñez Ribeiro,297,280,1.6600000000000001,0.49,18,16.11,21,19.560000000000002,2,0,2,1.8,0,Spurs,Home
Darwin,Núñez Ribeiro,297,280,1.6600000000000001,0.49,18,16.11,21,19.560000000000002,2,0,2,1.8,120,Fulham,Home
Danny,Welbeck,103,298,2.0300000000000002,0.23,16,14.810000000000002,15,13.43,2,0,0,3.0,-50,Man Utd,Home
Danny,Welbeck,103,298,2.0300000000000002,0.23,16,14.810000000000002,15,13.43,2,0,0,3.0,80,Wolves,Home
João,Félix Sequeira,690,359,0.94,0.28,15,14.600000000000001,12,17.32,1,0,2,1.6,-25,Arsenal,Away
Michail,Antonio,458,371,1.46,0.09,17,16.11,13,12.599999999999998,1,1,0,3.0,45,Crystal Palace,Away
Michail,Antonio,458,371,1.46,0.09,17,16.11,13,12.599999999999998,1,1,0,3.0,-220,Man City,Away
Cristiano Ronaldo,dos Santos Aveiro,326,344,1.38,0.11,14,14.85,14,12.99,1,0,3,0.0,50,Brighton,Away
Patrick,Bamford,227,349,1.36,0.13,16,13.830000000000002,15,11.01,1,1,0,2.3,55,Bournemouth,Away
Raúl,Jiménez,476,403,0.9500000000000001,0.22,16,14.459999999999999,12,12.53,0,2,0,0.0,-80,Brighton,Away
Evan,Ferguson,596,283,1.81,0.11000000000000001,13,14.57,14,11.28,1,0,1,1.8,80,Wolves,Home
Evan,Ferguson,596,283,1.81,0.11000000000000001,13,14.57,14,11.28,1,0,1,1.8,-50,Man Utd,Home
Odsonne,Edouard,166,326,0.73,0.13,13,11.31,14,13.879999999999999,1,0,0,2.6,-45,West Ham,Home
Matheus,Santos Carneiro Da Cunha,682,399,0.5,0.09,16,14.27,13,7.8100000000000005,1,0,3,3.2,-80,Brighton,Away
Patson,Daka,271,323,1.02,0.12,14,13.440000000000001,12,8.59,1,0,1,1.3,35,Everton,Home
Brennan,Johnson,394,445,1.31,0.2,12,13.839999999999998,9,9.87,1,0,2,2.2,-15,Brentford,Away
Wout,Weghorst,701,341,1.12,0.36000000000000004,11,11.559999999999999,12,8.84,0,1,0,0.8,50,Brighton,Away
Richarlison,de Andrade,454,366,0.68,0.36000000000000004,17,14.8,6,3.8600000000000003,0,2,1,0.8,0,Liverpool,Away
Cristiano Ronaldo,dos Santos Aveiro,326,344,1.38,0.11,14,14.85,5,6.28,1,0,3,0.0,55,Aston Villa,Home
Emmanuel,Dennis,585,293,0.96,0.1,15,10.14,9,4.359999999999999,1,1,1,1.5,-15,Brentford,Away
Wout,Weghorst,701,341,1.12,0.36000000000000004,11,11.559999999999999,5,9.07,0,1,0,0.8,55,Aston Villa,Home
Diego,Da Silva Costa,625,304,0.59,0.09,14,10.63,5,4.010000000000001,1,0,3,2.8,-80,Brighton,Away
Julio,Enciso,125,214,0.96,0.51,15,11.37,4,0.3999999999999999,1,1,3,4.0,-50,Man Utd,Home
Julio,Enciso,125,214,0.96,0.51,15,11.37,4,0.3999999999999999,1,1,3,4.0,80,Wolves,Home
