first_name,second_name,id,minutes,xG,xA,xGC,total_points,xPoints,total_points_Home/Away,xPoints_Home/Away,goal_scored,assists,clean_sheets,goals_conceded,bonus,form,diff,team_against,Home/Away
John,Stones,302,368,0.18000000000000002,0.08,1.41,28,25.68,27,26.3,2,0,1,2,5,4.8,265,Fulham,Away
John,Stones,302,368,0.18000000000000002,0.08,1.41,28,25.68,28,22.49,2,0,1,2,5,4.8,220,West Ham,Home
Emerson,Leite de Souza Junior,445,437,0.55,0.31,4.98,44,25.790000000000003,17,15.030000000000001,2,0,4,3,8,0.0,0,Liverpool,Away
Trent,Alexander-Arnold,285,450,0.07,2.4599999999999995,7.3100000000000005,24,22.4,29,23.090000000000003,0,5,0,10,4,4.0,0,Spurs,Home
Trent,Alexander-Arnold,285,450,0.07,2.4599999999999995,7.3100000000000005,24,22.4,29,23.090000000000003,0,5,0,10,4,4.0,120,Fulham,Home
Diogo,Dalot Teixeira,342,450,0.8,0.30000000000000004,9.77,21,20.459999999999997,28,26.480000000000004,1,0,2,11,2,4.4,55,Aston Villa,Home
Tyrone,Mings,39,450,0.09000000000000001,0.09,4.119999999999999,31,24.330000000000002,21,15.530000000000001,1,0,3,2,3,6.5,-55,Man Utd,Away
Alexandre,Moreno Lopera,694,405,0.18,1.16,3.56,26,26.08,19,17.330000000000002,0,1,3,2,2,5.3,-55,Man Utd,Away
Benjamin,White,10,450,0.8,0.54,9.97,18,18.3,30,21.209999999999997,1,2,0,12,2,3.6,25,Chelsea,Home
Konstantinos,Tsimikas,292,308,0.45,0.6799999999999999,5.67,26,15.9,28,17.22,0,2,3,2,2,1.0,0,Spurs,Home
Konstantinos,Tsimikas,292,308,0.45,0.6799999999999999,5.67,26,15.9,28,17.22,0,2,3,2,2,1.0,120,Fulham,Home
Joseph,Gomez,286,450,0.06,0.5,8.129999999999999,27,16.74,24,16.479999999999997,0,0,4,3,3,1.0,0,Spurs,Home
Joseph,Gomez,286,450,0.06,0.5,8.129999999999999,27,16.74,24,16.479999999999997,0,0,4,3,3,1.0,120,Fulham,Home
Lisandro,Martínez,533,427,0.18,0.04,7.9,22,14.68,28,18.11,0,0,3,6,4,3.6,55,Aston Villa,Home
Adam,Webster,108,374,0.02,0.05,4.56,19,18.869999999999997,22,22.86,0,0,2,4,3,2.4,80,Wolves,Home
Adam,Webster,108,374,0.02,0.05,4.56,19,18.869999999999997,22,22.86,0,0,2,4,3,2.4,-50,Man Utd,Home
Aaron,Cresswell,457,405,0.08,0.68,6.949999999999999,22,18.560000000000002,24,18.16,0,1,2,4,5,3.7,-220,Man City,Away
Aaron,Cresswell,457,405,0.08,0.68,6.949999999999999,22,18.560000000000002,24,18.16,0,1,2,4,5,3.7,45,Crystal Palace,Away
Nathan,Aké,308,429,0.1,0.38,2.44,21,21.62,18,21.8,0,0,3,2,1,1.0,265,Fulham,Away
James,Justin,268,447,0.07,0.16,6.11,28,15.34,23,15.540000000000001,0,0,4,1,2,0.0,35,Everton,Home
Diogo,Dalot Teixeira,342,450,0.8,0.30000000000000004,9.77,21,20.459999999999997,21,18.919999999999998,1,0,2,11,2,4.4,50,Brighton,Away
Tyrell,Malacia,504,383,0.06,0.2,4.220000000000001,27,19.16,19,15.71,0,0,3,1,6,2.2,55,Aston Villa,Home
Pervis,Estupiñán,586,424,0.43,0.6000000000000001,6.41,11,16.660000000000004,29,23.229999999999997,0,0,1,8,0,2.2,80,Wolves,Home
Pervis,Estupiñán,586,424,0.43,0.6000000000000001,6.41,11,16.660000000000004,29,23.229999999999997,0,0,1,8,0,2.2,-50,Man Utd,Home
Ezri,Konsa Ngoyo,44,450,0.22,0.05,4.119999999999999,23,22.990000000000002,19,13.92,0,0,3,2,2,4.8,-55,Man Utd,Away
Marc,Guéhi,167,450,0.48,0.27,3.67,23,20.45,17,16.34,1,0,2,4,1,4.6,-45,West Ham,Home
Lewis,Dunk,106,450,0.55,0.23,7.33,18,17.27,22,19.12,1,0,1,9,1,3.6,-50,Man Utd,Home
Lewis,Dunk,106,450,0.55,0.23,7.33,18,17.27,22,19.12,1,0,1,9,1,3.6,80,Wolves,Home
Harry,Maguire,330,450,0.1,0.01,5.1,31,14.95,19,11.42,0,0,5,0,2,2.2,55,Aston Villa,Home
Tyrell,Malacia,504,383,0.06,0.2,4.220000000000001,27,19.16,16,13.77,0,0,3,1,6,2.2,50,Brighton,Away
