player,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Brenden Aaronson,"MF,FW","<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",22-188,2000,32,28,2296,25.5,1,3,4,1,0,0,2,0,3.7,3.7,4.2,7.9,43,84,147,0.04,0.12,0.16,0.04,0.16,0.14,0.17,0.31,0.14,0.31
Che Adams,FW,"<a href=""/en/squads/33c895d4/Southampton-Stats"">Southampton</a>",26-289,1996,26,22,1903,21.1,5,3,8,5,0,0,1,0,5.9,5.9,2.8,8.7,14,32,104,0.24,0.14,0.38,0.24,0.38,0.28,0.13,0.41,0.28,0.41
Tyler Adams,MF,"<a href=""/en/squads/5bfb9659/Leeds-United-Stats"">Leeds United</a>",24-073,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Tosin Adarabioyo,DF,"<a href=""/en/squads/fd962109/Fulham-Stats"">Fulham</a>",25-216,1997,19,17,1545,17.2,1,0,1,1,0,0,3,0,0.4,0.4,0.2,0.6,15,71,3,0.06,0.00,0.06,0.06,0.06,0.02,0.01,0.03,0.02,0.03
Nayef Aguerd,DF,"<a href=""/en/squads/7c21e445/West-Ham-United-Stats"">West Ham</a>",27-029,1996,14,13,1235,13.7,1,0,1,1,0,0,4,0,1.4,1.4,0.4,1.8,2,18,4,0.07,0.00,0.07,0.07,0.07,0.10,0.03,0.13,0.10,0.13
Naouirou Ahamada,"MF,FW","<a href=""/en/squads/47c64c55/Crystal-Palace-Stats"">Crystal Palace</a>",21-030,2002,7,0,93,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22
Rayan Aït Nouri,DF,"<a href=""/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats"">Wolves</a>",21-326,2001,20,9,1031,11.5,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.09,0.00,0.09,0.09,0.09,0.06,0.09,0.15,0.06,0.15
Kristoffer Ajer,DF,"<a href=""/en/squads/cd051869/Brentford-Stats"">Brentford</a>",25-011,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Manuel Akanji,DF,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",27-283,1995,24,20,1946,21.6,0,1,1,0,0,0,2,0,1.2,1.2,0.3,1.4,22,93,12,0.00,0.05,0.05,0.00,0.05,0.05,0.01,0.07,0.05,0.07
Nathan Aké,DF,"<a href=""/en/squads/b8fd03ef/Manchester-City-Stats"">Manchester City</a>",28-069,1995,23,19,1683,18.7,0,0,0,0,0,0,2,0,1.0,1.0,0.6,1.6,22,128,28,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.09,0.05,0.09
Marc Albrighton,"FW,MF","<a href=""/en/squads/a2d435b3/Leicester-City-Stats"">Leicester City</a>",33-161,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48
Thiago Alcántara,MF,"<a href=""/en/squads/822bd0ba/Liverpool-Stats"">Liverpool</a>",32-017,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11
