first_name,second_name,id,minutes,xG,xA,xGC,total_points,xPoints,total_points_Home/Away,xPoints_Home/Away,goal_scored,assists,clean_sheets,goals_conceded,bonus,form,diff,team_against,Home/Away
Kevin,De Bruyne,301,384,1.59,1.7900000000000003,1.71,52,35.61,45,33.040000000000006,3,5,3,2,9,12.2,220,West Ham,Home
Mohamed,Salah,283,375,3.3000000000000003,0.7200000000000001,4.43,29,27.959999999999997,52,41.16,4,0,0,6,2,5.8,120,Fulham,Home
Mohamed,Salah,283,375,3.3000000000000003,0.7200000000000001,4.43,29,27.959999999999997,52,41.16,4,0,0,6,2,5.8,0,Spurs,Home
Kevin,De Bruyne,301,384,1.59,1.7900000000000003,1.71,52,35.61,30,25.33,3,5,3,2,9,12.2,265,Fulham,Away
Marcus,Rashford,335,440,1.98,0.3,8.6,33,25.17,42,29.34,2,2,3,4,4,6.0,55,Aston Villa,Home
Gabriel,Martinelli Silva,19,407,0.89,1.98,9.76,33,23.61,39,28.61,2,3,0,11,5,6.6,25,Chelsea,Home
Riyad,Mahrez,303,379,1.75,0.45999999999999996,4.32,22,22.36,42,32.58,1,2,0,4,2,2.2,220,West Ham,Home
Joelinton Cássio,Apolinário de Lira,371,439,3.07,0.13,6.75,43,33.269999999999996,19,18.7,4,2,0,6,8,7.3,140,Southampton,Home
Jack,Grealish,305,427,1.04,1.35,1.93,35,26.32,31,20.65,2,3,2,3,5,8.0,265,Fulham,Away
Jack,Grealish,305,427,1.04,1.35,1.93,35,26.32,28,22.6,2,3,2,3,5,8.0,220,West Ham,Home
Marcus,Rashford,335,440,1.98,0.3,8.6,33,25.17,31,20.79,2,2,3,4,4,6.0,50,Brighton,Away
Bukayo,Saka,13,379,1.4100000000000001,0.88,9.53,17,18.18,46,27.5,1,1,0,11,3,3.4,25,Chelsea,Home
Kaoru,Mitoma,124,450,1.5,0.7300000000000001,7.33,20,21.259999999999998,39,25.85,1,1,1,9,1,4.0,-50,Man Utd,Home
Kaoru,Mitoma,124,450,1.5,0.7300000000000001,7.33,20,21.259999999999998,39,25.85,1,1,1,9,1,4.0,80,Wolves,Home
Cody,Gakpo,680,387,1.32,0.48,6.2700000000000005,25,20.27,28,24.119999999999997,2,1,0,9,3,4.3,120,Fulham,Home
Cody,Gakpo,680,387,1.32,0.48,6.2700000000000005,25,20.27,28,24.119999999999997,2,1,0,9,3,4.3,0,Spurs,Home
Lucas,Tolentino Coelho de Lima,603,429,0.68,0.31000000000000005,9.05,26,16.16,30,24.819999999999997,2,1,2,9,1,4.3,45,Crystal Palace,Away
Lucas,Tolentino Coelho de Lima,603,429,0.68,0.31000000000000005,9.05,26,16.16,30,24.819999999999997,2,1,2,9,1,4.3,-220,Man City,Away
Alexis,Mac Allister,116,432,1.97,1.0899999999999999,7.26,15,22.69,28,30.77,1,0,1,9,0,3.0,-50,Man Utd,Home
Alexis,Mac Allister,116,432,1.97,1.0899999999999999,7.26,15,22.69,28,30.77,1,0,1,9,0,3.0,80,Wolves,Home
Ilkay,Gündogan,300,431,1.0,0.44,1.6399999999999997,21,19.68,26,28.93,1,1,3,2,0,3.0,220,West Ham,Home
Martin,Ødegaard,7,412,0.9,0.6900000000000002,7.989999999999999,27,20.79,25,22.79,2,1,0,10,4,5.4,25,Chelsea,Home
Solly,March,107,450,1.3299999999999998,1.7,7.33,25,24.32,22,24.25,0,4,1,9,2,5.0,-50,Man Utd,Home
Solly,March,107,450,1.3299999999999998,1.7,7.33,25,24.32,22,24.25,0,4,1,9,2,5.0,80,Wolves,Home
Andreas,Hoelgebaum Pereira,346,395,2.5100000000000002,0.16000000000000003,5.2299999999999995,22,26.11,21,24.89,2,0,0,6,3,4.4,-265,Man City,Home
Phil,Foden,314,346,0.9900000000000001,1.36,2.9200000000000004,28,23.46,23,16.98,2,1,1,2,6,1.0,220,West Ham,Home
Abdoulaye,Doucouré,185,417,1.16,0.5700000000000001,10.24,27,17.599999999999998,26,18.560000000000002,2,2,1,9,5,0.0,-35,Leicester,Away
